Order ID,Order Status,Cancel reason,Return / Refund Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Parent SKU Reference No.,Product Name,SKU Reference No.,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Seller Rebate,Seller Discount,Shopee Rebate,SKU Total Weight,No of product in order,Order Total Weight,Voucher Code,Seller Voucher,Seller Absorbed Coin Cashback,Shopee Voucher,Bundle Deal Indicator,Shopee Bundle Discount,Seller Bundle Discount,Shopee Coins Offset,Credit Card Discount Total,Total Amount,Buyer Paid Shipping Fee,Transaction Fee,Commission Fee,Service Fee,Grand Total,Estimated Shipping Fee,Username (Buyer),Remark from buyer,Order Complete Time,Note
2010017ASYBVV8,Completed,,,MY202975903265E,Standard Delivery,Dropoff,2020/10/12 21:06,2020/10/4 14:24,2020/10/1 19:48,2020/10/2 21:06,KT-??01,commodity replacement link,KT-??01,,0.1,0.1,1,0.1,0,0,0,0.2,1,0.2,,0,0,0,N,0,0,0,0,0.1,0,0,0,0.01,0.1,0,ctfatimah79,,2020/10/18 7:47,
2010017B4QV6N9,Completed,,,MY200350536570D,Standard Delivery,Dropoff,2020/10/12 19:56,2020/10/3 13:44,2020/10/1 19:54,2020/10/1 19:56,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,30",38.53,28.89,1,28.89,9.64,9.64,0,0.5,2,1,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,59.98,2.2,1.18,0,3.41,58.98,8.2,semuthidup,,2020/10/17 22:17,
2010017B4QV6N9,Completed,,,MY200350536570D,Standard Delivery,Dropoff,2020/10/12 19:56,2020/10/3 13:44,2020/10/1 19:54,2020/10/1 19:56,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,32",38.53,28.89,1,28.89,9.64,9.64,0,0.5,2,1,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,59.98,2.2,1.18,0,3.41,58.98,8.2,semuthidup,,2020/10/17 22:17,
2010017DMK795K,Completed,,,MY205784960412L,Standard Delivery,Dropoff,2020/10/15 20:40,2020/10/4 13:45,2020/10/1 20:39,2020/10/1 20:40,KT-???292,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,31",38.53,28.89,1,28.89,9.64,9.64,0,0.5,2,0.53,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,38.48,0,0.75,0,2.25,37.48,5.2,murnie_husain,,2020/10/12 19:59,
2010017DMK795K,Completed,,,MY205784960412L,Standard Delivery,Dropoff,2020/10/15 20:40,2020/10/4 13:45,2020/10/1 20:39,2020/10/1 20:40,KT-??02,Ready Stock  High Quality Fashion Kids Socks  boy&girls comfortable and breathable socks Candy colors,KT-??02_Fivecolors_XL?8-12??,"Five colors,XL?8-12 year old?",31.99,9.59,1,9.59,22.4,22.4,0,0.03,2,0.53,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,38.48,0,0.75,0,2.25,37.48,5.2,murnie_husain,,2020/10/12 19:59,
2010017EQ4JQWH,Cancelled,Cancelled by buyer. Reason: Others,,,Standard Delivery,Dropoff,,,2020/10/1 20:58,-,KT-???292,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Black,28",34.53,25.89,1,25.89,8.64,8.64,0,0.5,1,0.5,FSV-60641745,0,0,0,N,0,0,0,0,25.89,0,0.52,0,1.55,25.89,5.2,ayienadzri88,,,
2010017EX7KX69,Cancelled,Cancelled by buyer. Reason: Others / change of mind,,,Standard Delivery,Dropoff,2020/10/12 21:03,,2020/10/1 21:02,2020/10/1 21:03,KT-???292,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Black,28",34.53,25.89,1,25.89,8.64,8.64,0,0.5,1,0.5,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,25.89,0,0.5,0,1.49,24.89,5.2,ayienadzri88,,,
2010017GE6F827,Completed,,,MY200010672197C,Standard Delivery,Dropoff,2020/10/15 21:29,2020/10/4 13:54,2020/10/1 21:29,2020/10/1 21:29,KT-???2115,Ready Stock Kids Shoes Kids Fashion Canvas Shoes Mickey Mouse 2 Color Velcro Shoes,KT-???2115_??_36,"brown,36",34,28.8,1,28.8,5.2,5.2,0,0.3,2,0.6,LUCAA;CRSEPT7;FSV-60641745,1,0,0,N,0,0,0,0,50.7,0,0.99,0,2.98,49.7,5.2,mou_das94,,2020/10/11 12:36,
2010017GE6F827,Completed,,,MY200010672197C,Standard Delivery,Dropoff,2020/10/15 21:29,2020/10/4 13:54,2020/10/1 21:29,2020/10/1 21:29,KT-???2115,Ready Stock Kids Shoes Kids Fashion Canvas Shoes Mickey Mouse 2 Color Velcro Shoes,KT-???2115_??_26,"brown,26",32,21.9,1,21.9,10.1,10.1,0,0.3,2,0.6,LUCAA;CRSEPT7;FSV-60641745,1,0,0,N,0,0,0,0,50.7,0,0.99,0,2.98,49.7,5.2,mou_das94,,2020/10/11 12:36,
2010017GWT06N2,Cancelled,Cancelled by buyer. Reason: Need to modify order,,,Standard Delivery,Dropoff,,,2020/10/1 21:38,-,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,33",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,,0,0,0,N,0,0,0,0,34.89,6,0.7,0,1.73,34.89,6,orbpeiqtdx,,,
