Order ID,Order Status,Cancel reason,Return / Refund Status,Tracking Number,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Parent SKU Reference No.,Product Name,SKU Reference No.,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Seller Rebate,Seller Discount,Shopee Rebate,SKU Total Weight,No of product in order,Order Total Weight,Voucher Code,Seller Voucher,Seller Absorbed Coin Cashback,Shopee Voucher,Bundle Deal Indicator,Shopee Bundle Discount,Seller Bundle Discount,Shopee Coins Offset,Credit Card Discount Total,Total Amount,Buyer Paid Shipping Fee,Transaction Fee,Commission Fee,Service Fee,Grand Total,Estimated Shipping Fee,Username (Buyer),Remark from buyer,Order Complete Time,Note
20092923U2GA27,Cancelled,Cancelled by buyer. Reason: Need to modify order,,,Standard Delivery,Dropoff,,,2020/9/29 18:00,-,KT-??A525,Ready Stock Kids Shoes Kids Fashion Canvas Shoes,KT-??A525,"red,38",39.9,29.9,1,29.9,10,10,0,0.5,2,1,LUCAA;FSV-58705857,1,0,0,N,0,0,0,0,62,2.2,1.22,0,4.12,61,8.2,marizwalaili_86,,,
20092924DUBXY3,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/9/29 18:11,-,KT-??02,Ready Stock  High Quality Fashion Kids Socks  boy&girls comfortable and breathable socks Candy colors,KT-??02_Yellow_S?1-3??,"Yellow,S?1-3 year old?",13.32,3.99,1,3.99,9.33,9.33,0,0.03,2,0.53,,0,0,0,N,0,0,0,0,29.17,5.2,0.58,0,1.68,29.17,5.2,deenpenyu,,,
20092924DUBXY3,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/9/29 18:11,-,KT-??819,Ready Stock  Shoes Kids Shoes Boys Shoes Girls Sneakers Kids,,"Golden,21",39.87,19.98,1,19.98,19.89,19.89,0,0.5,2,0.53,,0,0,0,N,0,0,0,0,29.17,5.2,0.58,0,1.68,29.17,5.2,deenpenyu,,,
20092929PM0W26,Shipping,,,MY209722558618R,Standard Delivery,Dropoff,2020/10/9 19:46,2020/10/1 14:04,2020/9/29 19:45,2020/9/29 19:46,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,31",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,LUCAA,1,0,0,N,0,0,0,0,34.89,6,0.68,0,1.95,33.89,6,srozianamusa,,,
2009292BY0DXA2,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/9/29 20:26,-,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_32,"pink,32",56.9,39.83,1,39.83,17.07,17.07,0,0.5,1,0.5,,0,0,0,N,0,0,0,0,45.03,5.2,0.9,0,2.79,45.03,5.2,zianazainudin1979,,,
2009292DWBG4DF,Completed,,,MY2099009802329,Standard Delivery,Dropoff,2020/10/9 21:01,2020/10/1 14:04,2020/9/29 21:01,2020/9/29 21:01,KT-???292,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,30",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,LUCAA;CRSEPT5;FSV-58708176,1,0,0,N,0,0,0,0,28.89,0,0.56,0,1.95,27.89,6,samumuie,,2020/10/10 18:57,
2009292EEU40JU,Shipping,,,MY203207718005R,Standard Delivery,Dropoff,2020/10/9 21:10,2020/10/1 14:25,2020/9/29 21:10,2020/9/29 21:10,KT-??819,Ready Stock  Shoes Kids Shoes Boys Shoes Girls Sneakers Kids,,"Golden,25",39.87,24.99,1,24.99,14.88,14.88,0,0.5,1,0.5,LUCAA;FSV-58708176,1,0,0,N,0,0,0,0,24.99,0,0.48,0,1.68,23.99,6,shafadilla08,,,
2009292H41Y7W3,Completed,,,MY207921414773P,Standard Delivery,Dropoff,2020/10/9 21:58,2020/10/1 14:04,2020/9/29 21:58,2020/9/29 21:58,KT-S05,Ready Stock Kids Shoes Net Breathable Casual Shoes Boys Girlscandy color non-slip wear-resistant breathable shoes,KT-S05,"pink,27",37,25.9,1,25.9,11.1,11.1,0,0.5,1,0.5,LUCAA;CASHBACK92;FSV-58706773,1,0,0,N,0,0,0,0,25.9,0,0.5,0,1.74,24.9,6,syahfaddd,,2020/10/9 0:38,
2009303EA5P7U1,Completed,,,MY203252335019E,Standard Delivery,Dropoff,2020/10/12 6:41,2020/10/1 14:04,2020/9/30 6:40,2020/9/30 6:41,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,37",39.87,29.9,1,29.9,9.97,9.97,0,0.5,1,0.5,LUCAA;FSV-58706773,1,0,0,N,0,0,0,0,29.9,0,0.58,0,2.02,28.9,5.2,idakudo95,,2020/10/7 12:28,
2009303NM8UBT2,Completed,,,MY203045783006Q,Standard Delivery,Dropoff,2020/10/12 8:53,2020/10/1 14:04,2020/9/30 8:51,2020/9/30 8:53,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,29",38.53,28.89,1,28.89,9.64,9.64,0,0.5,2,1,,0,0,0,N,0,0,0,0,62.19,7.4,1.24,0,3.84,62.19,7.4,aleahabdjalil,,2020/10/7 17:19,
2009303NM8UBT2,Completed,,,MY203045783006Q,Standard Delivery,Dropoff,2020/10/12 8:53,2020/10/1 14:04,2020/9/30 8:51,2020/9/30 8:53,KT-S05,Ready Stock Kids Shoes Net Breathable Casual Shoes Boys Girlscandy color non-slip wear-resistant breathable shoes,KT-S05,"black,26",37,25.9,1,25.9,11.1,11.1,0,0.5,2,1,,0,0,0,N,0,0,0,0,62.19,7.4,1.24,0,3.84,62.19,7.4,aleahabdjalil,,2020/10/7 17:19,
2009303UFX19C4,Completed,,,MY200613409624S,Standard Delivery,Dropoff,2020/10/12 10:37,2020/10/1 14:14,2020/9/30 10:36,2020/9/30 10:37,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_31,"pink,31",56.9,39.83,1,39.83,17.07,17.07,0,0.5,1,0.5,CRSEPT5;FSV-58708176,0,0,0,N,0,0,0,0,39.83,0,0.8,0,2.79,39.83,6,asrolrosali,,2020/10/7 19:41,
2009303X5TMNMC,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/9/30 11:24,-,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,38",39.87,29.9,1,29.9,9.97,9.97,0,0.5,1,0.5,LUCAA,1,0,0,N,0,0,0,0,35.9,6,0.7,0,2.02,34.9,6,marain01,,,
2009304E59WY4K,Shipping,,,MY206526150301Z,Standard Delivery,Dropoff,2020/10/12 16:10,2020/10/5 11:24,2020/9/30 16:10,2020/9/30 16:10,KT-S05,Ready Stock Kids Shoes Net Breathable Casual Shoes Boys Girlscandy color non-slip wear-resistant breathable shoes,KT-S05,"pink,23",28.3,19.8,1,19.8,8.5,8.5,0,0.5,1,0.5,FSV-58708176,0,0,0,N,0,0,0,0,19.8,0,0.4,0,1.39,19.8,6,lindatampis,,,
